Time, DR, DN, RN, Euclidian
0.000, 1.609, 0.824, 1.337, 2.248
0.010, 1.55, 0.857, 1.336, 2.218
0.020, 1.548, 0.878, 1.291, 2.198
0.030, 1.54, 0.881, 1.274, 2.184
0.040, 1.517, 0.879, 1.319, 2.194
0.050, 1.556, 0.87, 1.268, 2.187
0.060, 1.488, 0.865, 1.331, 2.175
0.070, 1.578, 0.857, 1.308, 2.221
0.080, 1.585, 0.886, 1.29, 2.227
0.090, 1.586, 0.846, 1.276, 2.204
0.100, 1.547, 0.868, 1.331, 2.217
0.110, 1.57, 0.832, 1.298, 2.200
0.120, 1.567, 0.842, 1.243, 2.170
0.130, 1.545, 0.826, 1.231, 2.141
0.140, 1.575, 0.855, 1.33, 2.231
0.150, 1.616, 0.867, 1.317, 2.257
0.160, 1.539, 0.874, 1.314, 2.204
0.170, 1.524, 0.857, 1.361, 2.215
0.180, 1.583, 0.852, 1.327, 2.234
0.190, 1.564, 0.865, 1.325, 2.224
0.200, 1.543, 0.89, 1.34, 2.229
0.210, 1.546, 0.862, 1.318, 2.206
0.220, 1.658, 0.901, 1.366, 2.329
0.230, 1.586, 0.88, 1.363, 2.268
0.240, 1.546, 0.841, 1.337, 2.210
0.250, 1.532, 0.833, 1.287, 2.167
0.260, 1.538, 0.858, 1.316, 2.198
0.270, 1.599, 0.878, 1.328, 2.256
0.280, 1.55, 0.855, 1.354, 2.228
0.290, 1.521, 0.861, 1.328, 2.195
0.300, 1.546, 0.852, 1.317, 2.202
0.310, 1.495, 0.84, 1.263, 2.129
0.320, 1.554, 0.89, 1.312, 2.219
0.330, 1.499, 0.843, 1.276, 2.141
0.340, 1.487, 0.855, 1.27, 2.134
0.350, 1.518, 0.881, 1.318, 2.194
0.360, 1.552, 0.861, 1.355, 2.232
0.370, 1.553, 0.84, 1.338, 2.215
0.380, 1.521, 0.869, 1.327, 2.197
0.390, 1.468, 0.847, 1.291, 2.130
0.400, 1.585, 0.864, 1.327, 2.240
0.410, 1.598, 0.881, 1.294, 2.237
0.420, 1.559, 0.861, 1.336, 2.226
0.430, 1.523, 0.872, 1.241, 2.149
0.440, 1.541, 0.858, 1.271, 2.174
0.450, 1.571, 0.86, 1.247, 2.182
0.460, 1.563, 0.887, 1.296, 2.215
0.470, 1.564, 0.822, 1.252, 2.165
0.480, 1.516, 0.875, 1.292, 2.175
0.490, 1.553, 0.865, 1.251, 2.173
0.500, 1.507, 0.882, 1.238, 2.140
0.510, 1.504, 0.877, 1.283, 2.162
0.520, 1.576, 0.844, 1.333, 2.230
0.530, 1.54, 0.834, 1.293, 2.176
0.540, 1.557, 0.886, 1.289, 2.206
0.550, 1.562, 0.857, 1.288, 2.198
0.560, 1.537, 0.864, 1.23, 2.149
0.570, 1.497, 0.848, 1.254, 2.128
0.580, 1.55, 0.833, 1.201, 2.130
0.590, 1.583, 0.881, 1.205, 2.175
0.600, 1.522, 0.855, 1.18, 2.107
0.610, 1.521, 0.871, 1.229, 2.140
0.620, 1.512, 0.829, 1.211, 2.107
0.630, 1.507, 0.834, 1.167, 2.080
0.640, 1.579, 0.832, 1.229, 2.167
0.650, 1.601, 0.844, 1.219, 2.182
0.660, 1.553, 0.861, 1.215, 2.151
0.670, 1.606, 0.835, 1.262, 2.206
0.680, 1.592, 0.851, 1.246, 2.193
0.690, 1.501, 0.805, 1.145, 2.052
0.700, 1.535, 0.822, 1.212, 2.121
0.710, 1.55, 0.849, 1.313, 2.201
