Time, DR, DN, RN, Euclidian
0.000, 1.553, 0.837, 1.654, 2.418
10.000, 1.585, 0.893, 1.67, 2.469
20.000, 1.553, 0.875, 1.654, 2.431
30.000, 1.619, 0.887, 1.703, 2.511
40.000, 1.582, 0.861, 1.659, 2.448
50.000, 1.63, 0.842, 1.714, 2.510
60.000, 1.613, 0.874, 1.66, 2.474
70.000, 1.567, 0.844, 1.603, 2.395
80.000, 1.574, 0.869, 1.695, 2.470
90.000, 1.597, 0.878, 1.659, 2.464
100.000, 1.621, 0.874, 1.651, 2.473
110.000, 1.577, 0.879, 1.648, 2.444
120.000, 1.569, 0.878, 1.659, 2.446
130.000, 1.589, 0.857, 1.694, 2.475
140.000, 1.559, 0.822, 1.628, 2.399
150.000, 1.581, 0.883, 1.582, 2.404
160.000, 1.585, 0.861, 1.655, 2.447
170.000, 1.636, 0.842, 1.641, 2.465
180.000, 1.583, 0.856, 1.572, 2.389
190.000, 1.55, 0.831, 1.601, 2.378
200.000, 1.618, 0.849, 1.614, 2.437
210.000, 1.58, 0.802, 1.64, 2.414
220.000, 1.588, 0.826, 1.636, 2.424
230.000, 1.533, 0.835, 1.56, 2.341
240.000, 1.597, 0.831, 1.59, 2.401
250.000, 1.564, 0.857, 1.599, 2.395
260.000, 1.607, 0.854, 1.667, 2.467
270.000, 1.548, 0.84, 1.626, 2.397
280.000, 1.565, 0.839, 1.654, 2.426
290.000, 1.571, 0.852, 1.677, 2.450
300.000, 1.542, 0.823, 1.619, 2.382
310.000, 1.579, 0.846, 1.637, 2.426
320.000, 1.569, 0.854, 1.648, 2.430
330.000, 1.563, 0.861, 1.647, 2.428
340.000, 1.628, 0.795, 1.683, 2.472
350.000, 1.615, 0.844, 1.673, 2.473
360.000, 1.597, 0.83, 1.633, 2.430
370.000, 1.572, 0.876, 1.664, 2.451
380.000, 1.512, 0.865, 1.55, 2.331
390.000, 1.58, 0.883, 1.643, 2.444
400.000, 1.536, 0.891, 1.592, 2.384
410.000, 1.559, 0.853, 1.62, 2.404
420.000, 1.528, 0.873, 1.596, 2.375
430.000, 1.507, 0.828, 1.577, 2.333
440.000, 1.515, 0.905, 1.595, 2.378
450.000, 1.535, 0.849, 1.616, 2.385
460.000, 1.5, 0.864, 1.599, 2.356
