Time, DR, DN, RN, Euclidian
0.000, 1.513, 0.855, 1.267, 2.150
0.010, 1.55, 0.83, 1.348, 2.215
0.020, 1.498, 0.85, 1.269, 2.139
0.030, 1.544, 0.843, 1.32, 2.199
0.040, 1.58, 0.839, 1.335, 2.232
0.050, 1.603, 0.816, 1.329, 2.236
0.060, 1.657, 0.816, 1.354, 2.290
0.070, 1.586, 0.816, 1.332, 2.226
0.080, 1.564, 0.831, 1.283, 2.186
0.090, 1.574, 0.835, 1.294, 2.202
0.100, 1.528, 0.851, 1.271, 2.162
0.110, 1.53, 0.828, 1.277, 2.158
0.120, 1.534, 0.841, 1.259, 2.155
0.130, 1.592, 0.813, 1.328, 2.226
0.140, 1.56, 0.818, 1.312, 2.196
0.150, 1.545, 0.825, 1.335, 2.202
0.160, 1.517, 0.823, 1.289, 2.154
0.170, 1.568, 0.804, 1.329, 2.207
0.180, 1.503, 0.858, 1.262, 2.141
0.190, 1.563, 0.825, 1.366, 2.233
0.200, 1.575, 0.837, 1.388, 2.260
0.210, 1.537, 0.833, 1.303, 2.180
0.220, 1.527, 0.822, 1.325, 2.182
0.230, 1.584, 0.816, 1.346, 2.233
0.240, 1.555, 0.839, 1.282, 2.182
0.250, 1.582, 0.791, 1.366, 2.234
0.260, 1.553, 0.827, 1.282, 2.176
0.270, 1.576, 0.836, 1.304, 2.209
0.280, 1.555, 0.822, 1.288, 2.180
0.290, 1.546, 0.851, 1.303, 2.193
0.300, 1.605, 0.839, 1.356, 2.262
0.310, 1.568, 0.812, 1.326, 2.208
0.320, 1.514, 0.817, 1.305, 2.159
0.330, 1.528, 0.851, 1.274, 2.163
0.340, 1.584, 0.843, 1.355, 2.248
0.350, 1.609, 0.825, 1.388, 2.279
0.360, 1.598, 0.845, 1.356, 2.259
0.370, 1.564, 0.846, 1.312, 2.209
0.380, 1.592, 0.835, 1.337, 2.240
0.390, 1.598, 0.823, 1.342, 2.243
0.400, 1.604, 0.836, 1.357, 2.261
0.410, 1.535, 0.815, 1.314, 2.178
0.420, 1.523, 0.857, 1.307, 2.182
0.430, 1.569, 0.82, 1.321, 2.208
0.440, 1.574, 0.82, 1.372, 2.243
0.450, 1.507, 0.802, 1.276, 2.131
0.460, 1.551, 0.791, 1.304, 2.175
0.470, 1.573, 0.802, 1.333, 2.212
0.480, 1.562, 0.821, 1.262, 2.169
0.490, 1.574, 0.818, 1.28, 2.187
0.500, 1.527, 0.836, 1.283, 2.162
0.510, 1.505, 0.849, 1.29, 2.156
0.520, 1.539, 0.834, 1.26, 2.156
0.530, 1.522, 0.855, 1.309, 2.181
0.540, 1.538, 0.852, 1.282, 2.175
0.550, 1.54, 0.829, 1.302, 2.180
0.560, 1.539, 0.819, 1.29, 2.168
0.570, 1.569, 0.827, 1.333, 2.218
0.580, 1.571, 0.828, 1.298, 2.199
0.590, 1.595, 0.855, 1.356, 2.261
