Time, DR, DN, RN, Euclidian
0.000, 1.545, 0.827, 1.309, 2.187
10.000, 1.531, 0.82, 1.306, 2.173
20.000, 1.561, 0.853, 1.326, 2.218
30.000, 1.642, 0.804, 1.253, 2.216
40.000, 1.574, 0.818, 1.217, 2.151
50.000, 1.541, 0.804, 1.227, 2.127
60.000, 1.574, 0.783, 1.278, 2.173
70.000, 1.576, 0.841, 1.269, 2.191
80.000, 1.565, 0.808, 1.294, 2.185
90.000, 1.579, 0.799, 1.306, 2.199
100.000, 1.494, 0.809, 1.206, 2.083
110.000, 1.551, 0.822, 1.308, 2.189
120.000, 1.566, 0.773, 1.266, 2.156
130.000, 1.573, 0.849, 1.263, 2.188
140.000, 1.6, 0.791, 1.365, 2.246
150.000, 1.566, 0.777, 1.303, 2.180
160.000, 1.62, 0.828, 1.309, 2.241
170.000, 1.576, 0.816, 1.29, 2.194
180.000, 1.631, 0.865, 1.328, 2.274
190.000, 1.639, 0.834, 1.299, 2.251
200.000, 1.625, 0.817, 1.308, 2.240
210.000, 1.645, 0.804, 1.325, 2.260
220.000, 1.616, 0.826, 1.33, 2.250
230.000, 1.718, 0.842, 1.379, 2.358
240.000, 1.578, 0.86, 1.27, 2.200
250.000, 1.67, 0.834, 1.309, 2.279
260.000, 1.696, 0.846, 1.294, 2.294
270.000, 1.673, 0.853, 1.324, 2.297
280.000, 1.653, 0.834, 1.304, 2.264
290.000, 1.533, 0.857, 1.245, 2.152
300.000, 1.558, 0.859, 1.242, 2.169
310.000, 1.52, 0.822, 1.258, 2.137
320.000, 1.523, 0.868, 1.274, 2.167
330.000, 1.599, 0.882, 1.255, 2.215
340.000, 1.622, 0.831, 1.287, 2.231
350.000, 1.54, 0.866, 1.246, 2.161
360.000, 1.55, 0.79, 1.279, 2.159
370.000, 1.571, 0.849, 1.312, 2.215
380.000, 1.569, 0.823, 1.299, 2.196
390.000, 1.599, 0.841, 1.331, 2.244
400.000, 1.633, 0.852, 1.341, 2.278
410.000, 1.585, 0.855, 1.334, 2.241
420.000, 1.597, 0.86, 1.311, 2.238
430.000, 1.587, 0.862, 1.304, 2.227
440.000, 1.607, 0.859, 1.256, 2.213
450.000, 1.624, 0.838, 1.317, 2.252
460.000, 1.538, 0.835, 1.3, 2.180
470.000, 1.518, 0.828, 1.223, 2.117
480.000, 1.531, 0.853, 1.249, 2.152
490.000, 1.519, 0.819, 1.332, 2.179
500.000, 1.564, 0.829, 1.291, 2.190
510.000, 1.515, 0.854, 1.262, 2.148
520.000, 1.503, 0.826, 1.286, 2.143
530.000, 1.509, 0.85, 1.3, 2.165
540.000, 1.548, 0.825, 1.304, 2.185
550.000, 1.527, 0.81, 1.305, 2.165
560.000, 1.567, 0.807, 1.348, 2.218
570.000, 1.58, 0.807, 1.31, 2.205
580.000, 1.504, 0.865, 1.269, 2.149
590.000, 1.54, 0.836, 1.236, 2.144
600.000, 1.515, 0.831, 1.251, 2.133
610.000, 1.529, 0.845, 1.301, 2.178
620.000, 1.527, 0.823, 1.277, 2.154
630.000, 1.56, 0.828, 1.283, 2.182
640.000, 1.51, 0.827, 1.271, 2.139
650.000, 1.538, 0.852, 1.265, 2.166
660.000, 1.563, 0.798, 1.265, 2.163
670.000, 1.513, 0.752, 1.249, 2.101
680.000, 1.54, 0.841, 1.269, 2.165
690.000, 1.49, 0.841, 1.224, 2.103
700.000, 1.503, 0.8, 1.268, 2.122
710.000, 1.534, 0.849, 1.249, 2.152
720.000, 1.488, 0.814, 1.276, 2.122
730.000, 1.559, 0.839, 1.278, 2.183
740.000, 1.511, 0.801, 1.245, 2.115
750.000, 1.533, 0.825, 1.236, 2.135
760.000, 1.515, 0.832, 1.228, 2.120
770.000, 1.497, 0.81, 1.278, 2.128
780.000, 1.465, 0.844, 1.218, 2.083
790.000, 1.559, 0.857, 1.297, 2.201
800.000, 1.522, 0.821, 1.293, 2.159
810.000, 1.517, 0.777, 1.281, 2.132
820.000, 1.525, 0.856, 1.28, 2.167
830.000, 1.533, 0.81, 1.286, 2.158
840.000, 1.55, 0.827, 1.277, 2.171
850.000, 1.57, 0.817, 1.287, 2.188
860.000, 1.56, 0.872, 1.262, 2.187
870.000, 1.563, 0.847, 1.252, 2.174
880.000, 1.586, 0.871, 1.256, 2.202
890.000, 1.528, 0.884, 1.261, 2.169
900.000, 1.563, 0.818, 1.296, 2.188
910.000, 1.549, 0.843, 1.26, 2.167
920.000, 1.567, 0.851, 1.317, 2.216
930.000, 1.521, 0.829, 1.237, 2.128
940.000, 1.513, 0.844, 1.267, 2.146
950.000, 1.524, 0.81, 1.282, 2.149
960.000, 1.48, 0.835, 1.296, 2.137
970.000, 1.526, 0.847, 1.345, 2.203
980.000, 1.541, 0.862, 1.289, 2.186
990.000, 1.508, 0.856, 1.275, 2.152
1000.000, 1.511, 0.805, 1.281, 2.138
1010.000, 1.533, 0.89, 1.27, 2.180
1020.000, 1.5, 0.808, 1.231, 2.101
1030.000, 1.532, 0.847, 1.267, 2.160
1040.000, 1.493, 0.813, 1.267, 2.120
1050.000, 1.535, 0.822, 1.305, 2.175
1060.000, 1.54, 0.841, 1.247, 2.152
1070.000, 1.529, 0.824, 1.282, 2.158
1080.000, 1.506, 0.789, 1.278, 2.126
1090.000, 1.561, 0.857, 1.307, 2.208
1100.000, 1.551, 0.827, 1.31, 2.192
1110.000, 1.562, 0.827, 1.337, 2.216
1120.000, 1.574, 0.825, 1.296, 2.199
1130.000, 1.527, 0.814, 1.271, 2.147
1140.000, 1.52, 0.848, 1.255, 2.145
1150.000, 1.475, 0.835, 1.255, 2.108
1160.000, 1.551, 0.836, 1.271, 2.172
1170.000, 1.575, 0.854, 1.325, 2.228
1180.000, 1.496, 0.825, 1.297, 2.144
1190.000, 1.479, 0.799, 1.237, 2.087
1200.000, 1.513, 0.841, 1.264, 2.143
1210.000, 1.521, 0.853, 1.25, 2.145
1220.000, 1.52, 0.836, 1.278, 2.154
1230.000, 1.509, 0.827, 1.27, 2.138
1240.000, 1.558, 0.839, 1.316, 2.205
1250.000, 1.517, 0.827, 1.262, 2.139
1260.000, 1.541, 0.833, 1.254, 2.154
1270.000, 1.539, 0.835, 1.26, 2.157
1280.000, 1.516, 0.833, 1.274, 2.148
1290.000, 1.531, 0.848, 1.272, 2.163
1300.000, 1.553, 0.816, 1.269, 2.165
1310.000, 1.539, 0.834, 1.276, 2.166
1320.000, 1.601, 0.811, 1.298, 2.214
1330.000, 1.543, 0.863, 1.295, 2.191
1340.000, 1.533, 0.821, 1.251, 2.142
1350.000, 1.479, 0.811, 1.263, 2.107
1360.000, 1.536, 0.813, 1.3, 2.170
1370.000, 1.551, 0.851, 1.337, 2.217
1380.000, 1.584, 0.842, 1.305, 2.218
1390.000, 1.496, 0.849, 1.248, 2.125
1400.000, 1.532, 0.814, 1.29, 2.161
1410.000, 1.508, 0.841, 1.255, 2.134
1420.000, 1.519, 0.855, 1.28, 2.162
1430.000, 1.595, 0.824, 1.274, 2.201
1440.000, 1.607, 0.84, 1.322, 2.244
1450.000, 1.493, 0.858, 1.25, 2.127
1460.000, 1.54, 0.849, 1.264, 2.165
1470.000, 1.525, 0.816, 1.249, 2.133
1480.000, 1.543, 0.805, 1.287, 2.164
1490.000, 1.508, 0.842, 1.252, 2.133
1500.000, 1.599, 0.832, 1.351, 2.252
1510.000, 1.52, 0.85, 1.284, 2.163
1520.000, 1.547, 0.82, 1.271, 2.163
1530.000, 1.539, 0.821, 1.296, 2.173
1540.000, 1.59, 0.81, 1.302, 2.208
1550.000, 1.544, 0.84, 1.273, 2.170
1560.000, 1.567, 0.815, 1.281, 2.181
1570.000, 1.604, 0.815, 1.34, 2.243
1580.000, 1.598, 0.849, 1.307, 2.232
1590.000, 1.583, 0.83, 1.356, 2.243
1600.000, 1.564, 0.832, 1.313, 2.205
1610.000, 1.517, 0.821, 1.273, 2.143
1620.000, 1.583, 0.808, 1.321, 2.214
1630.000, 1.552, 0.836, 1.342, 2.215
1640.000, 1.576, 0.813, 1.335, 2.219
1650.000, 1.541, 0.836, 1.29, 2.176
1660.000, 1.581, 0.849, 1.351, 2.246
1670.000, 1.519, 0.794, 1.282, 2.140
1680.000, 1.542, 0.865, 1.274, 2.179
1690.000, 1.512, 0.808, 1.27, 2.133
1700.000, 1.528, 0.824, 1.287, 2.161
1710.000, 1.554, 0.816, 1.248, 2.153
1720.000, 1.541, 0.875, 1.272, 2.181
1730.000, 1.529, 0.829, 1.281, 2.160
1740.000, 1.53, 0.842, 1.276, 2.162
1750.000, 1.493, 0.842, 1.242, 2.116
1760.000, 1.546, 0.85, 1.317, 2.201
1770.000, 1.514, 0.813, 1.285, 2.145
1780.000, 1.497, 0.819, 1.235, 2.106
1790.000, 1.509, 0.844, 1.287, 2.155
1800.000, 1.551, 0.817, 1.298, 2.181
1810.000, 1.526, 0.823, 1.283, 2.156
1820.000, 1.52, 0.837, 1.282, 2.157
1830.000, 1.518, 0.838, 1.246, 2.135
1840.000, 1.514, 0.847, 1.263, 2.145
1850.000, 1.502, 0.86, 1.248, 2.133
1860.000, 1.532, 0.829, 1.263, 2.151
1870.000, 1.53, 0.868, 1.237, 2.150
1880.000, 1.54, 0.804, 1.292, 2.165
1890.000, 1.542, 0.844, 1.264, 2.165
1900.000, 1.557, 0.802, 1.268, 2.162
1910.000, 1.578, 0.836, 1.247, 2.178
1920.000, 1.611, 0.823, 1.293, 2.223
1930.000, 1.534, 0.853, 1.272, 2.167
1940.000, 1.603, 0.812, 1.318, 2.228
1950.000, 1.559, 0.857, 1.269, 2.185
1960.000, 1.501, 0.808, 1.278, 2.130
1970.000, 1.536, 0.818, 1.282, 2.161
1980.000, 1.541, 0.826, 1.29, 2.172
1990.000, 1.537, 0.827, 1.277, 2.162
2000.000, 1.571, 0.792, 1.29, 2.181
2010.000, 1.513, 0.827, 1.268, 2.140
2020.000, 1.588, 0.851, 1.297, 2.219
2030.000, 1.583, 0.81, 1.332, 2.221
2040.000, 1.576, 0.869, 1.318, 2.230
2050.000, 1.625, 0.84, 1.366, 2.283
2060.000, 1.591, 0.827, 1.355, 2.247
2070.000, 1.575, 0.842, 1.291, 2.203
2080.000, 1.534, 0.807, 1.288, 2.159
2090.000, 1.612, 0.83, 1.381, 2.279
2100.000, 1.614, 0.817, 1.347, 2.255
2110.000, 1.567, 0.837, 1.285, 2.192
2120.000, 1.567, 0.81, 1.275, 2.176
2130.000, 1.55, 0.805, 1.261, 2.154
2140.000, 1.551, 0.858, 1.269, 2.179
2150.000, 1.58, 0.833, 1.299, 2.208
2160.000, 1.536, 0.87, 1.287, 2.184
2170.000, 1.58, 0.776, 1.282, 2.177
2180.000, 1.601, 0.794, 1.309, 2.215
2190.000, 1.523, 0.806, 1.248, 2.127
2200.000, 1.578, 0.802, 1.291, 2.190
2210.000, 1.527, 0.792, 1.279, 2.143
2220.000, 1.543, 0.753, 1.3, 2.153
2230.000, 1.523, 0.734, 1.254, 2.104
2240.000, 1.569, 0.857, 1.288, 2.203
2250.000, 1.492, 0.854, 1.232, 2.114
2260.000, 1.543, 0.84, 1.294, 2.181
2270.000, 1.5, 0.828, 1.275, 2.135
2280.000, 1.48, 0.855, 1.217, 2.098
2290.000, 1.527, 0.823, 1.325, 2.182
2300.000, 1.517, 0.8, 1.285, 2.143
2310.000, 1.547, 0.818, 1.271, 2.162
2320.000, 1.5, 0.857, 1.278, 2.148
2330.000, 1.526, 0.847, 1.277, 2.162
2340.000, 1.568, 0.841, 1.288, 2.196
2350.000, 1.552, 0.863, 1.27, 2.183
2360.000, 1.51, 0.825, 1.275, 2.141
2370.000, 1.516, 0.824, 1.323, 2.174
2380.000, 1.553, 0.818, 1.276, 2.170
2390.000, 1.537, 0.795, 1.262, 2.141
2400.000, 1.551, 0.839, 1.262, 2.168
2410.000, 1.497, 0.84, 1.238, 2.116
2420.000, 1.518, 0.847, 1.256, 2.144
2430.000, 1.537, 0.82, 1.294, 2.170
2440.000, 1.627, 0.887, 1.289, 2.257
2450.000, 1.602, 0.864, 1.287, 2.229
2460.000, 1.598, 0.81, 1.297, 2.211
2470.000, 1.533, 0.824, 1.291, 2.166
2480.000, 1.518, 0.816, 1.248, 2.127
2490.000, 1.521, 0.815, 1.255, 2.133
2500.000, 1.544, 0.788, 1.282, 2.156
2510.000, 1.573, 0.816, 1.27, 2.180
2520.000, 1.524, 0.823, 1.261, 2.142
2530.000, 1.511, 0.796, 1.257, 2.120
2540.000, 1.583, 0.8, 1.317, 2.209
2550.000, 1.55, 0.823, 1.241, 2.149
2560.000, 1.521, 0.861, 1.261, 2.155
2570.000, 1.496, 0.852, 1.253, 2.129
2580.000, 1.517, 0.829, 1.275, 2.148
2590.000, 1.519, 0.838, 1.257, 2.142
2600.000, 1.57, 0.827, 1.315, 2.208
2610.000, 1.591, 0.811, 1.273, 2.193
2620.000, 1.518, 0.834, 1.252, 2.137
2630.000, 1.534, 0.844, 1.292, 2.175
2640.000, 1.533, 0.803, 1.247, 2.133
2650.000, 1.524, 0.818, 1.281, 2.152
2660.000, 1.553, 0.821, 1.304, 2.187
2670.000, 1.54, 0.815, 1.273, 2.157
2680.000, 1.546, 0.806, 1.312, 2.181
2690.000, 1.561, 0.87, 1.321, 2.222
2700.000, 1.532, 0.903, 1.291, 2.197
2710.000, 1.537, 0.853, 1.277, 2.172
2720.000, 1.531, 0.858, 1.303, 2.185
2730.000, 1.542, 0.817, 1.282, 2.165
2740.000, 1.52, 0.859, 1.262, 2.154
2750.000, 1.592, 0.837, 1.273, 2.203
2760.000, 1.539, 0.824, 1.292, 2.171
2770.000, 1.548, 0.854, 1.279, 2.182
2780.000, 1.565, 0.831, 1.294, 2.194
2790.000, 1.584, 0.853, 1.297, 2.217
2800.000, 1.548, 0.86, 1.284, 2.187
2810.000, 1.53, 0.824, 1.28, 2.158
2820.000, 1.585, 0.824, 1.293, 2.205
2830.000, 1.574, 0.831, 1.274, 2.188
2840.000, 1.576, 0.838, 1.281, 2.197
2850.000, 1.513, 0.844, 1.275, 2.151
2860.000, 1.578, 0.841, 1.253, 2.183
2870.000, 1.531, 0.794, 1.247, 2.128
2880.000, 1.521, 0.823, 1.189, 2.098
2890.000, 1.539, 0.794, 1.25, 2.135
2900.000, 1.579, 0.819, 1.286, 2.194
2910.000, 1.522, 0.781, 1.239, 2.112
2920.000, 1.537, 0.779, 1.289, 2.151
2930.000, 1.547, 0.813, 1.226, 2.134
2940.000, 1.586, 0.828, 1.292, 2.206
2950.000, 1.557, 0.792, 1.271, 2.160
2960.000, 1.583, 0.826, 1.262, 2.186
2970.000, 1.59, 0.893, 1.342, 2.264
2980.000, 1.608, 0.838, 1.348, 2.259
2990.000, 1.609, 0.858, 1.281, 2.228
3000.000, 1.514, 0.848, 1.295, 2.165
3010.000, 1.527, 0.804, 1.289, 2.153
3020.000, 1.578, 0.884, 1.321, 2.239
3030.000, 1.6, 0.837, 1.309, 2.230
3040.000, 1.556, 0.83, 1.249, 2.161
3050.000, 1.527, 0.83, 1.215, 2.120
3060.000, 1.645, 0.845, 1.334, 2.280
3070.000, 1.554, 0.861, 1.29, 2.195
3080.000, 1.602, 0.939, 1.365, 2.304
3090.000, 1.489, 0.855, 1.245, 2.120
3100.000, 1.559, 0.852, 1.275, 2.186
3110.000, 1.606, 0.892, 1.327, 2.266
3120.000, 1.594, 0.912, 1.32, 2.261
3130.000, 1.556, 0.871, 1.273, 2.190
3140.000, 1.518, 0.886, 1.268, 2.167
3150.000, 1.554, 0.87, 1.288, 2.197
3160.000, 1.58, 0.896, 1.287, 2.226
3170.000, 1.509, 0.838, 1.22, 2.113
3180.000, 1.601, 0.83, 1.293, 2.218
3190.000, 1.568, 0.826, 1.286, 2.189
3200.000, 1.568, 0.819, 1.317, 2.205
3210.000, 1.513, 0.843, 1.282, 2.154
3220.000, 1.536, 0.836, 1.28, 2.167
3230.000, 1.505, 0.859, 1.289, 2.159
3240.000, 1.543, 0.842, 1.37, 2.228
3250.000, 1.538, 0.826, 1.308, 2.181
3260.000, 1.548, 0.86, 1.31, 2.202
3270.000, 1.509, 0.832, 1.295, 2.155
3280.000, 1.567, 0.865, 1.311, 2.218
3290.000, 1.492, 0.824, 1.312, 2.150
3300.000, 1.522, 0.827, 1.323, 2.179
3310.000, 1.524, 0.872, 1.335, 2.205
3320.000, 1.572, 0.823, 1.351, 2.230
3330.000, 1.56, 0.791, 1.358, 2.214
3340.000, 1.566, 0.838, 1.285, 2.192
3350.000, 1.511, 0.832, 1.256, 2.133
3360.000, 1.604, 0.829, 1.33, 2.242
3370.000, 1.533, 0.814, 1.332, 2.187
3380.000, 1.562, 0.848, 1.273, 2.186
3390.000, 1.537, 0.853, 1.281, 2.175
3400.000, 1.506, 0.83, 1.269, 2.137
3410.000, 1.567, 0.832, 1.306, 2.203
3420.000, 1.494, 0.813, 1.288, 2.133
3430.000, 1.576, 0.877, 1.324, 2.237
3440.000, 1.542, 0.822, 1.309, 2.183
3450.000, 1.523, 0.825, 1.3, 2.165
3460.000, 1.462, 0.812, 1.275, 2.102
3470.000, 1.509, 0.8, 1.269, 2.127
3480.000, 1.497, 0.8, 1.235, 2.099
3490.000, 1.547, 0.829, 1.247, 2.153
3500.000, 1.494, 0.893, 1.269, 2.154
3510.000, 1.487, 0.837, 1.287, 2.137
3520.000, 1.461, 0.813, 1.235, 2.078
3530.000, 1.452, 0.81, 1.303, 2.112
3540.000, 1.45, 0.803, 1.254, 2.078
3550.000, 1.487, 0.821, 1.271, 2.121
3560.000, 1.471, 0.812, 1.315, 2.133
3570.000, 1.464, 0.798, 1.277, 2.100
3580.000, 1.457, 0.809, 1.254, 2.085
3590.000, 1.51, 0.838, 1.308, 2.166
3600.000, 1.467, 0.815, 1.245, 2.089
3610.000, 1.502, 0.824, 1.269, 2.131
3620.000, 1.546, 0.833, 1.313, 2.192
3630.000, 1.509, 0.805, 1.351, 2.179
3640.000, 1.522, 0.847, 1.327, 2.189
3650.000, 1.518, 0.821, 1.298, 2.159
3660.000, 1.5, 0.813, 1.258, 2.119
3670.000, 1.51, 0.846, 1.363, 2.203
3680.000, 1.51, 0.815, 1.311, 2.159
3690.000, 1.514, 0.809, 1.263, 2.131
3700.000, 1.484, 0.826, 1.269, 2.120
3710.000, 1.488, 0.827, 1.282, 2.131
3720.000, 1.482, 0.798, 1.274, 2.110
3730.000, 1.523, 0.844, 1.299, 2.172
