Time, DR, DN, RN, Euclidian
0.000, 1.536, 0.806, 1.333, 2.187
0.010, 1.588, 0.797, 1.331, 2.220
0.020, 1.703, 0.77, 1.42, 2.347
0.030, 1.628, 0.797, 1.428, 2.307
0.040, 1.639, 0.773, 1.375, 2.274
0.050, 1.618, 0.803, 1.351, 2.255
0.060, 1.613, 0.818, 1.358, 2.261
0.070, 1.604, 0.808, 1.381, 2.265
0.080, 1.588, 0.782, 1.389, 2.250
0.090, 1.621, 0.788, 1.349, 2.251
0.100, 1.639, 0.791, 1.355, 2.268
0.110, 1.614, 0.795, 1.371, 2.262
0.120, 1.649, 0.833, 1.365, 2.297
0.130, 1.645, 0.793, 1.402, 2.302
0.140, 1.599, 0.779, 1.378, 2.250
0.150, 1.658, 0.783, 1.427, 2.323
0.160, 1.619, 0.783, 1.368, 2.259
0.170, 1.659, 0.836, 1.4, 2.326
0.180, 1.657, 0.836, 1.436, 2.346
0.190, 1.653, 0.826, 1.394, 2.314
0.200, 1.613, 0.806, 1.405, 2.285
0.210, 1.716, 0.781, 1.456, 2.382
0.220, 1.643, 0.795, 1.358, 2.275
0.230, 1.637, 0.797, 1.375, 2.281
0.240, 1.635, 0.799, 1.384, 2.286
0.250, 1.654, 0.779, 1.373, 2.286
0.260, 1.71, 0.787, 1.435, 2.367
0.270, 1.63, 0.806, 1.387, 2.286
0.280, 1.679, 0.801, 1.464, 2.367
0.290, 1.667, 0.793, 1.423, 2.330
0.300, 1.644, 0.806, 1.397, 2.303
0.310, 1.67, 0.813, 1.428, 2.342
0.320, 1.671, 0.816, 1.441, 2.352
0.330, 1.662, 0.838, 1.467, 2.369
0.340, 1.658, 0.789, 1.393, 2.304
0.350, 1.658, 0.801, 1.448, 2.342
0.360, 1.652, 0.827, 1.437, 2.340
0.370, 1.622, 0.79, 1.43, 2.302
0.380, 1.694, 0.8, 1.458, 2.373
0.390, 1.664, 0.812, 1.48, 2.370
0.400, 1.676, 0.804, 1.408, 2.331
0.410, 1.651, 0.803, 1.417, 2.319
0.420, 1.635, 0.861, 1.413, 2.326
0.430, 1.626, 0.818, 1.421, 2.309
0.440, 1.622, 0.824, 1.401, 2.296
0.450, 1.628, 0.792, 1.394, 2.284
0.460, 1.596, 0.801, 1.433, 2.289
0.470, 1.605, 0.778, 1.426, 2.283
0.480, 1.584, 0.813, 1.401, 2.265
0.490, 1.583, 0.773, 1.385, 2.240
0.500, 1.599, 0.84, 1.389, 2.278
0.510, 1.585, 0.795, 1.406, 2.262
0.520, 1.598, 0.806, 1.394, 2.268
0.530, 1.575, 0.786, 1.433, 2.269
0.540, 1.623, 0.848, 1.423, 2.319
0.550, 1.587, 0.787, 1.4, 2.257
0.560, 1.613, 0.815, 1.433, 2.306
0.570, 1.608, 0.796, 1.37, 2.257
0.580, 1.597, 0.803, 1.386, 2.261
0.590, 1.588, 0.8, 1.391, 2.257
0.600, 1.636, 0.815, 1.427, 2.318
0.610, 1.64, 0.793, 1.413, 2.305
0.620, 1.59, 0.815, 1.392, 2.264
0.630, 1.629, 0.804, 1.452, 2.325
0.640, 1.635, 0.789, 1.413, 2.300
0.650, 1.585, 0.817, 1.41, 2.273
0.660, 1.628, 0.792, 1.4, 2.288
0.670, 1.626, 0.801, 1.43, 2.308
0.680, 1.617, 0.759, 1.431, 2.288
0.690, 1.666, 0.864, 1.44, 2.365
0.700, 1.637, 0.791, 1.409, 2.300
0.710, 1.678, 0.818, 1.427, 2.349
0.720, 1.622, 0.8, 1.423, 2.301
0.730, 1.573, 0.805, 1.431, 2.273
0.740, 1.594, 0.834, 1.388, 2.272
0.750, 1.581, 0.786, 1.437, 2.276
0.760, 1.612, 0.842, 1.426, 2.311
0.770, 1.653, 0.835, 1.448, 2.350
0.780, 1.647, 0.785, 1.403, 2.301
0.790, 1.586, 0.819, 1.404, 2.270
0.800, 1.591, 0.818, 1.401, 2.272
0.810, 1.594, 0.799, 1.423, 2.281
0.820, 1.574, 0.788, 1.395, 2.245
0.830, 1.648, 0.834, 1.442, 2.343
0.840, 1.59, 0.82, 1.4, 2.271
