Time, DR, DN, RN, Euclidian
0.000, 1.505, 0.825, 1.312, 2.160
10.000, 1.486, 0.806, 1.349, 2.162
20.000, 1.575, 0.88, 1.369, 2.264
30.000, 1.557, 0.887, 1.343, 2.239
40.000, 1.627, 0.877, 1.402, 2.319
50.000, 1.521, 0.859, 1.362, 2.215
60.000, 1.573, 0.807, 1.392, 2.250
70.000, 1.582, 0.867, 1.406, 2.287
80.000, 1.524, 0.866, 1.368, 2.223
90.000, 1.489, 0.864, 1.375, 2.203
100.000, 1.516, 0.81, 1.382, 2.205
110.000, 1.537, 0.832, 1.355, 2.211
120.000, 1.562, 0.877, 1.388, 2.266
130.000, 1.539, 0.88, 1.365, 2.237
140.000, 1.541, 0.81, 1.343, 2.198
150.000, 1.576, 0.85, 1.366, 2.252
160.000, 1.574, 0.848, 1.364, 2.248
170.000, 1.559, 0.843, 1.375, 2.243
180.000, 1.557, 0.805, 1.356, 2.216
190.000, 1.574, 0.814, 1.353, 2.229
200.000, 1.621, 0.843, 1.375, 2.286
210.000, 1.542, 0.83, 1.361, 2.217
220.000, 1.603, 0.813, 1.356, 2.251
230.000, 1.566, 0.826, 1.389, 2.250
240.000, 1.562, 0.842, 1.384, 2.250
250.000, 1.54, 0.815, 1.349, 2.203
260.000, 1.541, 0.851, 1.309, 2.193
270.000, 1.551, 0.88, 1.314, 2.215
280.000, 1.543, 0.793, 1.372, 2.211
290.000, 1.593, 0.857, 1.368, 2.267
300.000, 1.576, 0.832, 1.388, 2.258
310.000, 1.55, 0.807, 1.346, 2.205
320.000, 1.592, 0.783, 1.432, 2.279
330.000, 1.568, 0.793, 1.423, 2.261
340.000, 1.567, 0.778, 1.421, 2.253
350.000, 1.546, 0.789, 1.367, 2.209
360.000, 1.482, 0.788, 1.335, 2.144
370.000, 1.572, 0.805, 1.353, 2.224
380.000, 1.595, 0.804, 1.38, 2.257
390.000, 1.542, 0.815, 1.378, 2.222
400.000, 1.524, 0.816, 1.32, 2.175
410.000, 1.578, 0.802, 1.367, 2.236
420.000, 1.548, 0.828, 1.316, 2.194
430.000, 1.552, 0.793, 1.321, 2.186
440.000, 1.607, 0.793, 1.343, 2.239
450.000, 1.581, 0.81, 1.372, 2.244
460.000, 1.644, 0.821, 1.394, 2.306
470.000, 1.483, 0.791, 1.334, 2.145
480.000, 1.53, 0.781, 1.356, 2.188
490.000, 1.465, 0.806, 1.288, 2.110
500.000, 1.521, 0.783, 1.319, 2.160
510.000, 1.53, 0.809, 1.344, 2.191
520.000, 1.516, 0.771, 1.344, 2.167
530.000, 1.475, 0.786, 1.334, 2.138
540.000, 1.513, 0.78, 1.325, 2.157
550.000, 1.538, 0.802, 1.34, 2.191
560.000, 1.535, 0.775, 1.372, 2.199
570.000, 1.539, 0.779, 1.37, 2.202
580.000, 1.531, 0.814, 1.322, 2.180
590.000, 1.554, 0.805, 1.371, 2.223
600.000, 1.531, 0.786, 1.371, 2.200
610.000, 1.517, 0.775, 1.373, 2.187
620.000, 1.527, 0.803, 1.324, 2.174
630.000, 1.504, 0.791, 1.302, 2.140
640.000, 1.544, 0.775, 1.365, 2.201
650.000, 1.597, 0.76, 1.432, 2.275
660.000, 1.585, 0.792, 1.381, 2.246
670.000, 1.629, 0.822, 1.41, 2.305
680.000, 1.55, 0.813, 1.378, 2.227
690.000, 1.543, 0.788, 1.447, 2.257
700.000, 1.556, 0.801, 1.421, 2.254
710.000, 1.561, 0.807, 1.406, 2.250
720.000, 1.61, 0.78, 1.391, 2.266
730.000, 1.598, 0.808, 1.397, 2.271
740.000, 1.579, 0.782, 1.371, 2.232
750.000, 1.528, 0.752, 1.344, 2.169
760.000, 1.57, 0.76, 1.382, 2.225
770.000, 1.551, 0.812, 1.374, 2.225
780.000, 1.582, 0.803, 1.394, 2.256
790.000, 1.647, 0.813, 1.397, 2.307
800.000, 1.635, 0.843, 1.402, 2.312
810.000, 1.653, 0.813, 1.397, 2.311
820.000, 1.63, 0.794, 1.363, 2.268
830.000, 1.582, 0.776, 1.37, 2.231
840.000, 1.586, 0.782, 1.392, 2.250
850.000, 1.624, 0.782, 1.399, 2.281
860.000, 1.604, 0.772, 1.388, 2.257
870.000, 1.594, 0.802, 1.403, 2.269
880.000, 1.614, 0.781, 1.386, 2.266
890.000, 1.592, 0.741, 1.395, 2.242
900.000, 1.576, 0.798, 1.383, 2.243
910.000, 1.597, 0.785, 1.4, 2.264
920.000, 1.543, 0.768, 1.368, 2.200
930.000, 1.565, 0.793, 1.331, 2.202
940.000, 1.557, 0.772, 1.38, 2.219
950.000, 1.597, 0.796, 1.394, 2.264
960.000, 1.568, 0.789, 1.357, 2.218
970.000, 1.599, 0.784, 1.364, 2.243
980.000, 1.534, 0.732, 1.399, 2.201
990.000, 1.565, 0.763, 1.406, 2.237
1000.000, 1.573, 0.768, 1.367, 2.221
1010.000, 1.607, 0.766, 1.376, 2.250
1020.000, 1.606, 0.763, 1.359, 2.237
1030.000, 1.621, 0.774, 1.395, 2.274
1040.000, 1.581, 0.765, 1.356, 2.218
1050.000, 1.584, 0.73, 1.414, 2.245
1060.000, 1.605, 0.759, 1.423, 2.275
1070.000, 1.526, 0.75, 1.35, 2.171
1080.000, 1.601, 0.732, 1.359, 2.223
1090.000, 1.596, 0.782, 1.329, 2.219
1100.000, 1.527, 0.71, 1.365, 2.167
1110.000, 1.526, 0.745, 1.369, 2.181
1120.000, 1.545, 0.794, 1.358, 2.204
1130.000, 1.54, 0.706, 1.375, 2.181
1140.000, 1.556, 0.675, 1.408, 2.204
1150.000, 1.48, 0.683, 1.328, 2.102
1160.000, 1.549, 0.679, 1.344, 2.160
1170.000, 1.522, 0.73, 1.308, 2.135
1180.000, 1.557, 0.741, 1.398, 2.219
1190.000, 1.552, 0.736, 1.346, 2.182
1200.000, 1.538, 0.71, 1.334, 2.156
1210.000, 1.577, 0.69, 1.37, 2.199
1220.000, 1.575, 0.733, 1.433, 2.251
1230.000, 1.597, 0.746, 1.397, 2.249
1240.000, 1.548, 0.777, 1.34, 2.189
1250.000, 1.493, 0.794, 1.3, 2.132
1260.000, 1.534, 0.797, 1.372, 2.206
1270.000, 1.55, 0.815, 1.344, 2.207
1280.000, 1.501, 0.723, 1.372, 2.158
1290.000, 1.571, 0.824, 1.404, 2.262
1300.000, 1.604, 0.82, 1.395, 2.278
1310.000, 1.537, 0.776, 1.366, 2.197
1320.000, 1.554, 0.819, 1.401, 2.246
1330.000, 1.599, 0.823, 1.356, 2.252
1340.000, 1.55, 0.766, 1.407, 2.229
1350.000, 1.602, 0.828, 1.409, 2.288
1360.000, 1.575, 0.815, 1.383, 2.248
1370.000, 1.58, 0.841, 1.385, 2.263
1380.000, 1.591, 0.805, 1.396, 2.264
1390.000, 1.57, 0.819, 1.361, 2.233
1400.000, 1.586, 0.819, 1.397, 2.266
1410.000, 1.555, 0.797, 1.423, 2.253
1420.000, 1.553, 0.828, 1.371, 2.230
1430.000, 1.597, 0.836, 1.414, 2.291
1440.000, 1.561, 0.803, 1.394, 2.241
1450.000, 1.58, 0.8, 1.393, 2.253
1460.000, 1.582, 0.809, 1.392, 2.257
1470.000, 1.554, 0.824, 1.384, 2.238
1480.000, 1.584, 0.845, 1.375, 2.261
1490.000, 1.582, 0.804, 1.403, 2.262
1500.000, 1.522, 0.812, 1.39, 2.215
1510.000, 1.548, 0.853, 1.385, 2.245
1520.000, 1.56, 0.794, 1.37, 2.222
1530.000, 1.609, 0.816, 1.382, 2.272
1540.000, 1.575, 0.845, 1.36, 2.245
1550.000, 1.533, 0.833, 1.391, 2.231
1560.000, 1.566, 0.798, 1.413, 2.255
1570.000, 1.555, 0.764, 1.401, 2.228
1580.000, 1.563, 0.77, 1.389, 2.228
1590.000, 1.558, 0.793, 1.351, 2.209
1600.000, 1.557, 0.828, 1.371, 2.233
1610.000, 1.545, 0.82, 1.377, 2.226
1620.000, 1.549, 0.795, 1.371, 2.216
1630.000, 1.559, 0.817, 1.348, 2.216
1640.000, 1.562, 0.814, 1.378, 2.236
1650.000, 1.542, 0.786, 1.339, 2.188
1660.000, 1.572, 0.795, 1.397, 2.248
1670.000, 1.532, 0.835, 1.353, 2.207
1680.000, 1.561, 0.816, 1.377, 2.235
1690.000, 1.545, 0.802, 1.315, 2.181
1700.000, 1.565, 0.803, 1.354, 2.219
1710.000, 1.584, 0.804, 1.389, 2.254
1720.000, 1.563, 0.811, 1.378, 2.235
1730.000, 1.607, 0.82, 1.39, 2.277
1740.000, 1.618, 0.8, 1.387, 2.276
1750.000, 1.575, 0.776, 1.403, 2.247
1760.000, 1.544, 0.795, 1.379, 2.217
1770.000, 1.586, 0.825, 1.4, 2.270
1780.000, 1.595, 0.802, 1.409, 2.274
1790.000, 1.577, 0.819, 1.414, 2.270
1800.000, 1.542, 0.811, 1.336, 2.195
