Time, DR, DN, RN, Euclidian
0.000, 1.504, 0.866, 1.241, 2.133
0.010, 1.48, 0.826, 1.278, 2.122
0.020, 1.572, 0.814, 1.282, 2.185
0.030, 1.551, 0.849, 1.277, 2.181
0.040, 1.454, 0.838, 1.242, 2.087
0.050, 1.49, 0.801, 1.341, 2.158
0.060, 1.476, 0.826, 1.257, 2.107
0.070, 1.46, 0.84, 1.185, 2.059
0.080, 1.615, 0.78, 1.354, 2.247
0.090, 1.423, 0.817, 1.233, 2.052
0.100, 1.486, 0.87, 1.262, 2.134
0.110, 1.439, 0.892, 1.251, 2.105
0.120, 1.49, 0.868, 1.299, 2.158
0.130, 1.44, 0.891, 1.304, 2.137
0.140, 1.472, 0.848, 1.298, 2.137
0.150, 1.427, 0.819, 1.245, 2.063
0.160, 1.462, 0.852, 1.243, 2.099
0.170, 1.498, 0.869, 1.298, 2.164
0.180, 1.485, 0.875, 1.262, 2.136
0.190, 1.493, 0.856, 1.276, 2.142
0.200, 1.477, 0.877, 1.202, 2.096
0.210, 1.45, 0.88, 1.237, 2.099
0.220, 1.447, 0.819, 1.233, 2.069
0.230, 1.446, 0.832, 1.252, 2.085
0.240, 1.449, 0.821, 1.256, 2.085
0.250, 1.443, 0.84, 1.284, 2.106
0.260, 1.521, 0.816, 1.326, 2.176
0.270, 1.431, 0.818, 1.208, 2.043
0.280, 1.405, 0.845, 1.22, 2.043
0.290, 1.402, 0.82, 1.27, 2.061
0.300, 1.491, 0.804, 1.26, 2.111
0.310, 1.408, 0.822, 1.227, 2.040
0.320, 1.376, 0.825, 1.206, 2.007
0.330, 1.451, 0.836, 1.222, 2.073
0.340, 1.436, 0.853, 1.264, 2.094
0.350, 1.453, 0.844, 1.243, 2.090
0.360, 1.474, 0.807, 1.257, 2.098
0.370, 1.432, 0.808, 1.248, 2.064
0.380, 1.398, 0.821, 1.218, 2.027
0.390, 1.436, 0.831, 1.279, 2.094
0.400, 1.458, 0.826, 1.302, 2.122
0.410, 1.495, 0.794, 1.32, 2.146
0.420, 1.437, 0.828, 1.238, 2.069
0.430, 1.509, 0.866, 1.311, 2.178
0.440, 1.503, 0.859, 1.226, 2.121
0.450, 1.431, 0.846, 1.191, 2.044
0.460, 1.489, 0.817, 1.236, 2.100
0.470, 1.484, 0.782, 1.199, 2.061
0.480, 1.484, 0.81, 1.242, 2.097
0.490, 1.515, 0.799, 1.303, 2.152
0.500, 1.496, 0.809, 1.282, 2.129
0.510, 1.499, 0.824, 1.272, 2.131
0.520, 1.562, 0.795, 1.328, 2.198
0.530, 1.479, 0.793, 1.261, 2.099
0.540, 1.532, 0.822, 1.241, 2.136
0.550, 1.484, 0.856, 1.216, 2.100
0.560, 1.509, 0.837, 1.293, 2.156
0.570, 1.475, 0.825, 1.307, 2.136
0.580, 1.492, 0.811, 1.299, 2.138
0.590, 1.447, 0.817, 1.249, 2.078
0.600, 1.368, 0.811, 1.219, 2.003
0.610, 1.389, 0.83, 1.202, 2.015
0.620, 1.443, 0.819, 1.282, 2.096
0.630, 1.495, 0.81, 1.3, 2.140
0.640, 1.476, 0.793, 1.272, 2.103
0.650, 1.448, 0.825, 1.279, 2.100
0.660, 1.461, 0.818, 1.298, 2.118
0.670, 1.432, 0.809, 1.297, 2.094
0.680, 1.496, 0.841, 1.276, 2.138
0.690, 1.493, 0.843, 1.251, 2.122
0.700, 1.469, 0.826, 1.278, 2.115
0.710, 1.503, 0.85, 1.247, 2.129
0.720, 1.556, 0.798, 1.283, 2.168
0.730, 1.486, 0.822, 1.253, 2.110
0.740, 1.521, 0.841, 1.279, 2.157
0.750, 1.47, 0.832, 1.232, 2.090
0.760, 1.429, 0.829, 1.251, 2.072
0.770, 1.422, 0.833, 1.205, 2.041
0.780, 1.473, 0.819, 1.234, 2.088
0.790, 1.482, 0.817, 1.254, 2.106
0.800, 1.407, 0.783, 1.199, 2.007
0.810, 1.447, 0.832, 1.252, 2.086
0.820, 1.508, 0.821, 1.289, 2.147
0.830, 1.494, 0.83, 1.277, 2.133
0.840, 1.448, 0.821, 1.246, 2.079
0.850, 1.499, 0.82, 1.27, 2.128
0.860, 1.494, 0.831, 1.278, 2.134
0.870, 1.489, 0.829, 1.306, 2.147
0.880, 1.498, 0.871, 1.305, 2.169
0.890, 1.495, 0.824, 1.281, 2.134
0.900, 1.5, 0.835, 1.283, 2.143
0.910, 1.517, 0.823, 1.289, 2.154
0.920, 1.462, 0.819, 1.287, 2.112
0.930, 1.47, 0.871, 1.267, 2.127
0.940, 1.467, 0.809, 1.285, 2.111
0.950, 1.46, 0.785, 1.283, 2.096
0.960, 1.493, 0.85, 1.289, 2.147
0.970, 1.528, 0.837, 1.287, 2.166
0.980, 1.519, 0.815, 1.271, 2.141
0.990, 1.484, 0.782, 1.282, 2.111
1.000, 1.48, 0.791, 1.259, 2.097
1.010, 1.509, 0.85, 1.32, 2.177
1.020, 1.493, 0.831, 1.27, 2.128
1.030, 1.448, 0.858, 1.265, 2.105
1.040, 1.52, 0.823, 1.332, 2.182
1.050, 1.491, 0.774, 1.317, 2.134
1.060, 1.435, 0.797, 1.271, 2.076
1.070, 1.425, 0.833, 1.29, 2.094
1.080, 1.498, 0.775, 1.31, 2.135
1.090, 1.461, 0.83, 1.249, 2.093
1.100, 1.454, 0.846, 1.279, 2.113
1.110, 1.434, 0.827, 1.278, 2.091
1.120, 1.475, 0.835, 1.305, 2.139
1.130, 1.441, 0.809, 1.255, 2.075
1.140, 1.449, 0.795, 1.281, 2.091
1.150, 1.511, 0.758, 1.301, 2.133
1.160, 1.491, 0.785, 1.263, 2.105
1.170, 1.468, 0.764, 1.27, 2.086
1.180, 1.438, 0.773, 1.321, 2.100
1.190, 1.459, 0.828, 1.284, 2.112
1.200, 1.444, 0.829, 1.254, 2.084
1.210, 1.424, 0.809, 1.295, 2.087
1.220, 1.426, 0.812, 1.253, 2.064
1.230, 1.408, 0.82, 1.279, 2.071
1.240, 1.376, 0.792, 1.257, 2.025
1.250, 1.398, 0.767, 1.212, 2.002
1.260, 1.426, 0.701, 1.288, 2.045
1.270, 1.401, 0.778, 1.267, 2.042
1.280, 1.452, 0.754, 1.295, 2.086
1.290, 1.486, 0.801, 1.305, 2.133
1.300, 1.56, 0.817, 1.335, 2.209
1.310, 1.534, 0.787, 1.307, 2.163
1.320, 1.526, 0.781, 1.326, 2.167
1.330, 1.592, 0.801, 1.358, 2.240
1.340, 1.483, 0.812, 1.301, 2.133
1.350, 1.509, 0.771, 1.327, 2.152
1.360, 1.487, 0.813, 1.296, 2.133
1.370, 1.491, 0.786, 1.291, 2.123
1.380, 1.457, 0.807, 1.262, 2.089
1.390, 1.479, 0.778, 1.315, 2.126
1.400, 1.489, 0.778, 1.292, 2.119
1.410, 1.453, 0.786, 1.304, 2.104
1.420, 1.481, 0.815, 1.273, 2.116
1.430, 1.507, 0.777, 1.348, 2.166
1.440, 1.528, 0.78, 1.33, 2.170
1.450, 1.524, 0.81, 1.337, 2.183
1.460, 1.492, 0.814, 1.35, 2.170
1.470, 1.55, 0.792, 1.384, 2.223
1.480, 1.555, 0.811, 1.338, 2.205
1.490, 1.538, 0.828, 1.389, 2.231
1.500, 1.466, 0.797, 1.306, 2.118
1.510, 1.514, 0.81, 1.345, 2.181
1.520, 1.572, 0.791, 1.305, 2.190
1.530, 1.578, 0.773, 1.331, 2.204
1.540, 1.539, 0.776, 1.382, 2.209
1.550, 1.584, 0.812, 1.343, 2.229
1.560, 1.528, 0.804, 1.366, 2.201
1.570, 1.519, 0.829, 1.337, 2.186
