Time, DR, DN, RN, Euclidian
0.000, 1.516, 0.846, 1.261, 2.145
10.000, 1.539, 0.856, 1.289, 2.182
20.000, 1.567, 0.85, 1.278, 2.193
30.000, 1.538, 0.813, 1.278, 2.158
40.000, 1.586, 0.864, 1.278, 2.212
50.000, 1.553, 0.901, 1.262, 2.194
60.000, 1.594, 0.865, 1.278, 2.218
70.000, 1.551, 0.861, 1.246, 2.167
80.000, 1.599, 0.86, 1.326, 2.248
90.000, 1.522, 0.857, 1.258, 2.152
100.000, 1.544, 0.87, 1.325, 2.212
110.000, 1.6, 0.879, 1.299, 2.240
120.000, 1.6, 0.84, 1.357, 2.259
130.000, 1.585, 0.807, 1.33, 2.220
140.000, 1.574, 0.862, 1.261, 2.193
150.000, 1.519, 0.849, 1.227, 2.129
160.000, 1.614, 0.833, 1.324, 2.247
170.000, 1.539, 0.83, 1.253, 2.151
180.000, 1.5, 0.829, 1.243, 2.117
190.000, 1.545, 0.87, 1.237, 2.161
200.000, 1.541, 0.847, 1.282, 2.176
210.000, 1.545, 0.848, 1.265, 2.169
220.000, 1.54, 0.871, 1.241, 2.161
230.000, 1.536, 0.846, 1.291, 2.177
240.000, 1.531, 0.865, 1.239, 2.151
250.000, 1.532, 0.836, 1.291, 2.170
260.000, 1.542, 0.875, 1.24, 2.163
270.000, 1.56, 0.874, 1.263, 2.189
280.000, 1.613, 0.888, 1.296, 2.251
290.000, 1.645, 0.843, 1.302, 2.260
300.000, 1.592, 0.79, 1.288, 2.194
310.000, 1.63, 0.832, 1.302, 2.245
320.000, 1.633, 0.878, 1.28, 2.252
330.000, 1.636, 0.864, 1.271, 2.244
340.000, 1.604, 0.858, 1.287, 2.228
350.000, 1.561, 0.813, 1.306, 2.191
360.000, 1.595, 0.852, 1.299, 2.226
370.000, 1.575, 0.861, 1.319, 2.227
380.000, 1.568, 0.846, 1.272, 2.189
390.000, 1.547, 0.91, 1.287, 2.208
400.000, 1.517, 0.855, 1.276, 2.158
410.000, 1.582, 0.852, 1.298, 2.216
420.000, 1.546, 0.874, 1.259, 2.176
430.000, 1.533, 0.892, 1.263, 2.177
440.000, 1.577, 0.916, 1.278, 2.226
450.000, 1.626, 0.933, 1.338, 2.303
460.000, 1.565, 0.884, 1.344, 2.244
470.000, 1.612, 0.849, 1.344, 2.263
480.000, 1.557, 0.843, 1.286, 2.188
490.000, 1.6, 0.82, 1.363, 2.256
500.000, 1.612, 0.847, 1.315, 2.246
510.000, 1.63, 0.831, 1.296, 2.242
520.000, 1.557, 0.888, 1.286, 2.206
530.000, 1.567, 0.851, 1.316, 2.216
540.000, 1.589, 0.834, 1.321, 2.228
550.000, 1.618, 0.85, 1.296, 2.240
560.000, 1.554, 0.868, 1.301, 2.204
570.000, 1.535, 0.841, 1.294, 2.176
580.000, 1.572, 0.911, 1.294, 2.230
590.000, 1.558, 0.824, 1.269, 2.171
600.000, 1.586, 0.796, 1.281, 2.188
610.000, 1.605, 0.831, 1.316, 2.235
620.000, 1.584, 0.877, 1.298, 2.227
630.000, 1.565, 0.832, 1.301, 2.198
640.000, 1.536, 0.814, 1.294, 2.167
650.000, 1.606, 0.837, 1.306, 2.232
660.000, 1.513, 0.795, 1.261, 2.123
670.000, 1.502, 0.834, 1.2, 2.095
680.000, 1.506, 0.795, 1.248, 2.111
690.000, 1.505, 0.819, 1.182, 2.081
700.000, 1.499, 0.849, 1.225, 2.113
710.000, 1.559, 0.83, 1.257, 2.167
720.000, 1.563, 0.883, 1.239, 2.181
730.000, 1.554, 0.824, 1.292, 2.182
740.000, 1.583, 0.824, 1.252, 2.179
750.000, 1.558, 0.858, 1.249, 2.173
760.000, 1.527, 0.855, 1.195, 2.119
770.000, 1.572, 0.877, 1.295, 2.217
780.000, 1.528, 0.826, 1.24, 2.134
790.000, 1.559, 0.922, 1.301, 2.230
800.000, 1.554, 0.86, 1.339, 2.224
810.000, 1.557, 0.882, 1.296, 2.209
820.000, 1.588, 0.856, 1.315, 2.232
830.000, 1.543, 0.904, 1.278, 2.198
840.000, 1.612, 0.819, 1.325, 2.241
850.000, 1.581, 0.848, 1.283, 2.205
860.000, 1.623, 0.89, 1.308, 2.266
870.000, 1.522, 0.824, 1.302, 2.165
880.000, 1.551, 0.867, 1.263, 2.180
890.000, 1.572, 0.866, 1.239, 2.180
900.000, 1.532, 0.887, 1.233, 2.157
910.000, 1.588, 0.862, 1.333, 2.245
920.000, 1.592, 0.858, 1.306, 2.230
930.000, 1.62, 0.894, 1.331, 2.279
940.000, 1.591, 0.875, 1.285, 2.224
950.000, 1.577, 0.893, 1.281, 2.219
960.000, 1.627, 0.876, 1.313, 2.266
970.000, 1.568, 0.81, 1.298, 2.190
980.000, 1.584, 0.87, 1.303, 2.227
990.000, 1.564, 0.873, 1.345, 2.239
1000.000, 1.609, 0.877, 1.335, 2.267
1010.000, 1.616, 0.924, 1.326, 2.285
1020.000, 1.578, 0.899, 1.283, 2.223
1030.000, 1.581, 0.867, 1.318, 2.233
1040.000, 1.559, 0.835, 1.33, 2.212
1050.000, 1.574, 0.847, 1.341, 2.234
1060.000, 1.561, 0.881, 1.361, 2.250
1070.000, 1.54, 0.882, 1.338, 2.222
1080.000, 1.559, 0.879, 1.292, 2.207
1090.000, 1.496, 0.857, 1.262, 2.136
1100.000, 1.528, 0.863, 1.299, 2.183
1110.000, 1.555, 0.831, 1.321, 2.203
1120.000, 1.537, 0.889, 1.296, 2.198
1130.000, 1.554, 0.911, 1.323, 2.234
1140.000, 1.655, 0.872, 1.325, 2.292
1150.000, 1.582, 0.896, 1.313, 2.242
1160.000, 1.6, 0.929, 1.299, 2.260
1170.000, 1.596, 0.909, 1.272, 2.234
1180.000, 1.584, 0.895, 1.304, 2.238
1190.000, 1.56, 0.941, 1.257, 2.213
1200.000, 1.51, 0.878, 1.223, 2.132
1210.000, 1.525, 0.912, 1.239, 2.166
1220.000, 1.507, 0.875, 1.273, 2.158
1230.000, 1.569, 0.859, 1.269, 2.193
1240.000, 1.611, 0.912, 1.305, 2.264
1250.000, 1.555, 0.899, 1.268, 2.198
1260.000, 1.593, 0.907, 1.255, 2.221
1270.000, 1.553, 0.926, 1.288, 2.219
1280.000, 1.532, 0.945, 1.301, 2.220
1290.000, 1.557, 0.921, 1.256, 2.202
1300.000, 1.506, 0.89, 1.225, 2.135
1310.000, 1.522, 0.883, 1.285, 2.178
1320.000, 1.549, 0.91, 1.252, 2.189
1330.000, 1.544, 0.883, 1.242, 2.169
1340.000, 1.55, 0.877, 1.265, 2.184
1350.000, 1.565, 0.875, 1.27, 2.197
