Time,RMSD
10.0,0.1645069
20.0,0.157848
30.0,0.1534433
40.0,0.1711671
50.0,0.1660554
60.0,0.1671991
70.0,0.1694058
80.0,0.1758156
90.0,0.1627089
100.0,0.1660271
110.0,0.1680914
120.0,0.1574525
130.0,0.1599004
140.0,0.160986
150.0,0.1606943
160.0,0.1603328
170.0,0.157115
180.0,0.1656289
190.0,0.1506622
200.0,0.1735175
210.0,0.1727924
220.0,0.1737283
230.0,0.1634913
240.0,0.1644622
250.0,0.1643859
260.0,0.1656378
270.0,0.1638756
280.0,0.1665913
290.0,0.1694333
300.0,0.1630156
310.0,0.1620683
320.0,0.1633779
330.0,0.1617746
340.0,0.1694816
350.0,0.1842694
360.0,0.1583284
370.0,0.1592028
380.0,0.1599317
390.0,0.1648036
400.0,0.164173
410.0,0.1662482
420.0,0.1780302
430.0,0.1746005
440.0,0.1694015
450.0,0.1707886
460.0,0.1644585
470.0,0.1576761
480.0,0.1598804
490.0,0.1672862
500.0,0.1647807
510.0,0.1810477
520.0,0.1619189
530.0,0.1568826
540.0,0.1598192
550.0,0.1699904
560.0,0.1520118
570.0,0.1580786
580.0,0.1518003
590.0,0.1626504
600.0,0.1685471
610.0,0.1647962
620.0,0.1623137
630.0,0.1568357
640.0,0.1682366
650.0,0.1680326
660.0,0.1753436
670.0,0.1761279
680.0,0.1674594
690.0,0.166312
700.0,0.1633905
710.0,0.1643918
720.0,0.1638418
730.0,0.1706059
740.0,0.158068
750.0,0.1668405
760.0,0.1593782
770.0,0.1597894
780.0,0.171998
790.0,0.1692858
800.0,0.173122
810.0,0.1604482
820.0,0.1698589
830.0,0.1738359
840.0,0.1717257
850.0,0.1659188
860.0,0.162253
870.0,0.1821571
880.0,0.1581213
890.0,0.1549298
900.0,0.1752885
910.0,0.1818437
920.0,0.1913797
930.0,0.1687099
940.0,0.1802806
950.0,0.1777628
960.0,0.1767956
970.0,0.1811308
980.0,0.1738964
990.0,0.1886982
1000.0,0.1717671
1010.0,0.1802433
1020.0,0.1851686
1030.0,0.1741846
1040.0,0.1831358
1050.0,0.1553818
1060.0,0.168406
1070.0,0.1704348
1080.0,0.1808933
1090.0,0.1712501
1100.0,0.1800167
1110.0,0.187286
1120.0,0.1849303
1130.0,0.1883056
1140.0,0.1764988
1150.0,0.1850963
1160.0,0.1871264
1170.0,0.1879497
1180.0,0.184017
1190.0,0.1968319
1200.0,0.1816719
1210.0,0.1975753
1220.0,0.1948158
1230.0,0.1920686
1240.0,0.1701758
1250.0,0.1725407
1260.0,0.18102
1270.0,0.178405
1280.0,0.1932817
1290.0,0.1818338
1300.0,0.173661
1310.0,0.1738252
1320.0,0.1735636
1330.0,0.1700918
1340.0,0.1845883
1350.0,0.1811077
1360.0,0.1761198
1370.0,0.1804179
1380.0,0.1736812
1390.0,0.1630407
1400.0,0.1691885
1410.0,0.1722183
1420.0,0.1774419
1430.0,0.1669351
1440.0,0.1849243
1450.0,0.1810983
1460.0,0.1740783
1470.0,0.1818048
1480.0,0.1681177
1490.0,0.1646416
1500.0,0.1762997
1510.0,0.195087
1520.0,0.1774279
1530.0,0.1751996
1540.0,0.1802641
1550.0,0.1788258
1560.0,0.1810207
1570.0,0.1889342
1580.0,0.1875648
1590.0,0.1806569
1600.0,0.1691882
1610.0,0.1552504
1620.0,0.1652057
1630.0,0.1761107
1640.0,0.1726667
1650.0,0.1621238
1660.0,0.1675608
1670.0,0.1797489
1680.0,0.1754626
1690.0,0.1720685
1700.0,0.1757953
1710.0,0.1726204
1720.0,0.1714642
1730.0,0.1787222
1740.0,0.1713786
1750.0,0.1765689
1760.0,0.1816113
1770.0,0.1787302
1780.0,0.1819566
1790.0,0.181234
1800.0,0.1748985
1810.0,0.1727225
1820.0,0.1835851
1830.0,0.1667395
1840.0,0.178243
1850.0,0.1779318
1860.0,0.186483
1870.0,0.1780396
1880.0,0.1827729
1890.0,0.1733802
1900.0,0.1724476
1910.0,0.1780739
1920.0,0.1734271
1930.0,0.1743269
1940.0,0.1823395
1950.0,0.1851539
1960.0,0.1767707
1970.0,0.1855587
1980.0,0.1856564
1990.0,0.1849414
2000.0,0.1819886
2010.0,0.1874234
2020.0,0.1898202
2030.0,0.1989762
2040.0,0.2125206
2050.0,0.1916212
2060.0,0.1908517
2070.0,0.1937949
2080.0,0.1812608
2090.0,0.1872353
2100.0,0.1833009
