Time,RMSD
10.0,0.2719262
20.0,0.2851417
30.0,0.2876494
40.0,0.2904504
50.0,0.2795852
60.0,0.2885815
70.0,0.286655
80.0,0.2791168
90.0,0.2819754
100.0,0.2842949
110.0,0.2899715
120.0,0.2917784
130.0,0.2942263
140.0,0.2979129
150.0,0.3023137
160.0,0.2928357
170.0,0.3002701
180.0,0.3044503
190.0,0.2946331
200.0,0.3095666
210.0,0.2984958
220.0,0.29758
230.0,0.3058332
240.0,0.2975034
250.0,0.2896737
260.0,0.29116
270.0,0.2993357
280.0,0.3135191
290.0,0.3104134
300.0,0.3096409
310.0,0.3044859
320.0,0.2997186
330.0,0.299038
340.0,0.3021112
350.0,0.3105847
360.0,0.2901153
370.0,0.2936911
380.0,0.2996517
390.0,0.3003504
400.0,0.3029763
410.0,0.296984
420.0,0.2989198
430.0,0.3015837
440.0,0.2955926
450.0,0.3041575
460.0,0.3020137
470.0,0.2957954
480.0,0.3052902
490.0,0.3003249
500.0,0.3018776
510.0,0.2951032
520.0,0.3061413
530.0,0.2942802
540.0,0.2966863
550.0,0.2949183
560.0,0.2875463
570.0,0.2862517
580.0,0.279643
590.0,0.2792729
600.0,0.2895624
610.0,0.2951679
620.0,0.2942407
630.0,0.29117
640.0,0.296397
650.0,0.2889932
660.0,0.3010441
670.0,0.2937804
680.0,0.2914034
690.0,0.2977
700.0,0.2858997
710.0,0.2922879
720.0,0.290389
730.0,0.2966818
740.0,0.3007039
750.0,0.3058858
760.0,0.2958773
770.0,0.3074365
780.0,0.292683
790.0,0.2859284
800.0,0.2975934
810.0,0.2910137
820.0,0.2871266
830.0,0.2905954
840.0,0.2877684
850.0,0.2879622
860.0,0.2960521
870.0,0.300034
880.0,0.2865999
890.0,0.2892101
900.0,0.2956909
910.0,0.2972797
920.0,0.2977626
930.0,0.2907583
940.0,0.287607
950.0,0.2966715
960.0,0.3002765
970.0,0.3075933
980.0,0.2952819
990.0,0.3137154
1000.0,0.3097682
1010.0,0.3016486
1020.0,0.3086586
1030.0,0.3134093
1040.0,0.3048376
1050.0,0.3035697
1060.0,0.2966031
1070.0,0.2964193
1080.0,0.2943074
1090.0,0.2935924
1100.0,0.3080857
1110.0,0.3121013
1120.0,0.3057794
1130.0,0.3050277
1140.0,0.3098347
1150.0,0.3159307
1160.0,0.3063728
1170.0,0.3092057
1180.0,0.3063475
1190.0,0.3129143
1200.0,0.3147818
1210.0,0.3121727
1220.0,0.3076636
1230.0,0.3048379
1240.0,0.31289
1250.0,0.3084702
1260.0,0.3176593
1270.0,0.3085976
1280.0,0.3138635
1290.0,0.3097242
1300.0,0.3067559
1310.0,0.3071282
1320.0,0.3191456
1330.0,0.3131795
1340.0,0.3180027
1350.0,0.3254232
1360.0,0.3303707
1370.0,0.3275146
1380.0,0.3258762
1390.0,0.3289864
1400.0,0.3356725
1410.0,0.3368977
1420.0,0.32764
1430.0,0.3293412
1440.0,0.3320768
1450.0,0.3267841
1460.0,0.3262135
1470.0,0.3215175
1480.0,0.3239215
1490.0,0.31249
1500.0,0.3185254
1510.0,0.3310888
1520.0,0.3207875
1530.0,0.3329792
1540.0,0.3217014
1550.0,0.3250538
1560.0,0.3197004
1570.0,0.3221144
1580.0,0.3201268
1590.0,0.3273349
1600.0,0.3232765
1610.0,0.330718
1620.0,0.3203003
1630.0,0.322093
1640.0,0.3277493
1650.0,0.3253732
1660.0,0.3410331
1670.0,0.3321485
1680.0,0.3393556
1690.0,0.3325412
1700.0,0.3347898
1710.0,0.3295026
1720.0,0.3329457
1730.0,0.3260518
1740.0,0.3146944
1750.0,0.3266404
1760.0,0.3197489
1770.0,0.3242676
1780.0,0.3361206
1790.0,0.3281624
1800.0,0.3269426
1810.0,0.3180771
1820.0,0.3227327
1830.0,0.3212427
1840.0,0.3194782
1850.0,0.3244208
1860.0,0.3336381
1870.0,0.3253162
1880.0,0.3218547
1890.0,0.3292418
1900.0,0.3263064
1910.0,0.328902
1920.0,0.3278983
1930.0,0.3106624
1940.0,0.311882
1950.0,0.3167017
1960.0,0.3180402
1970.0,0.3155283
1980.0,0.3162987
1990.0,0.3142588
2000.0,0.3047521
2010.0,0.3116839
2020.0,0.3166655
2030.0,0.3112506
2040.0,0.320026
2050.0,0.3150663
2060.0,0.3106028
2070.0,0.3131018
2080.0,0.3076943
2090.0,0.3048617
2100.0,0.3171855
2110.0,0.321546
2120.0,0.3218729
2130.0,0.3245279
2140.0,0.3120572
2150.0,0.323239
2160.0,0.3157414
2170.0,0.3207203
2180.0,0.3215912
2190.0,0.3186623
2200.0,0.3203531
2210.0,0.3096898
2220.0,0.3263496
2230.0,0.3107256
2240.0,0.3133236
2250.0,0.3117536
2260.0,0.3228675
2270.0,0.3052589
2280.0,0.3167266
2290.0,0.3337545
2300.0,0.3299398
2310.0,0.3257447
2320.0,0.3217932
2330.0,0.3266754
2340.0,0.3374765
2350.0,0.3418101
2360.0,0.3360245
2370.0,0.3222086
2380.0,0.3112686
2390.0,0.322387
2400.0,0.3137395
2410.0,0.3201436
2420.0,0.322358
2430.0,0.3141685
2440.0,0.3105449
2450.0,0.3099709
2460.0,0.2999528
2470.0,0.301166
2480.0,0.3082829
2490.0,0.3178313
2500.0,0.3170469
2510.0,0.3126993
2520.0,0.324318
2530.0,0.322878
2540.0,0.3302576
2550.0,0.3386641
2560.0,0.3317533
2570.0,0.3352657
2580.0,0.3270662
2590.0,0.3344596
2600.0,0.3201305
2610.0,0.3137778
2620.0,0.306596
2630.0,0.3059497
2640.0,0.311316
2650.0,0.3168785
2660.0,0.3153101
2670.0,0.3062156
2680.0,0.3175478
2690.0,0.316614
2700.0,0.3171509
2710.0,0.3182816
2720.0,0.3083985
2730.0,0.3138344
2740.0,0.3156628
2750.0,0.3366168
2760.0,0.3176495
2770.0,0.3176722
2780.0,0.3423933
2790.0,0.3159521
2800.0,0.3312418
2810.0,0.325409
2820.0,0.3224446
2830.0,0.3228013
2840.0,0.3276998
2850.0,0.3325436
2860.0,0.3157001
2870.0,0.314254
2880.0,0.3167407
2890.0,0.3280475
2900.0,0.3315412
2910.0,0.3093408
2920.0,0.3162726
2930.0,0.3246043
2940.0,0.3098776
2950.0,0.3117721
2960.0,0.3061428
2970.0,0.3123549
2980.0,0.3106559
2990.0,0.3114113
3000.0,0.3153274
3010.0,0.3178382
3020.0,0.3050613
3030.0,0.3042989
3040.0,0.3134729
3050.0,0.3149199
3060.0,0.2904741
3070.0,0.3169914
3080.0,0.3000466
3090.0,0.3088823
3100.0,0.3092021
3110.0,0.3090962
3120.0,0.3047087
3130.0,0.3142156
3140.0,0.3116821
3150.0,0.30875
3160.0,0.3132645
3170.0,0.3074883
3180.0,0.3065912
3190.0,0.3032046
3200.0,0.3023451
3210.0,0.3139472
3220.0,0.3038021
3230.0,0.3295549
3240.0,0.3107493
3250.0,0.3181074
3260.0,0.3241573
3270.0,0.3233759
3280.0,0.3255385
3290.0,0.3198045
3300.0,0.3217536
3310.0,0.3162622
3320.0,0.3157865
3330.0,0.3162276
3340.0,0.3211138
3350.0,0.3191665
3360.0,0.3295027
3370.0,0.3187735
3380.0,0.320959
3390.0,0.3245471
3400.0,0.3126765
3410.0,0.3012438
3420.0,0.3114534
3430.0,0.3252311
3440.0,0.312171
3450.0,0.3026692
3460.0,0.3090935
3470.0,0.2923409
3480.0,0.3136472
3490.0,0.3105821
3500.0,0.3350954
3510.0,0.3341329
3520.0,0.3240247
3530.0,0.3201957
3540.0,0.3125752
3550.0,0.3192011
3560.0,0.3205736
3570.0,0.3155047
3580.0,0.3369312
3590.0,0.3239055
3600.0,0.314083
3610.0,0.3172512
3620.0,0.3202659
3630.0,0.3350508
3640.0,0.3280809
3650.0,0.3254698
3660.0,0.3328224
3670.0,0.3190067
3680.0,0.3100623
3690.0,0.3171344
3700.0,0.3050826
3710.0,0.31186
3720.0,0.3101325
3730.0,0.3166397
3740.0,0.3098364
3750.0,0.3159019
3760.0,0.3080382
3770.0,0.3064427
3780.0,0.3075325
3790.0,0.3036256
3800.0,0.3107679
3810.0,0.3021891
3820.0,0.3079585
3830.0,0.3108403
3840.0,0.3114919
3850.0,0.3144548
3860.0,0.3221077
3870.0,0.3055219
3880.0,0.3228149
3890.0,0.3080144
3900.0,0.3166652
3910.0,0.3030575
3920.0,0.2998138
3930.0,0.2993494
3940.0,0.3098425
